Clients,Throughput_ops,Median_Latency_us
2,45589.34950632323,41.549
5,107063.04663651963,41.672
10,125451.61395214529,76.261
20,131567.0717799208,154.3255
50,89013.79150525406,610.1065
100,105459.86259094081,1016.6405
150,110849.3569362768,1444.9850000000001
200,106404.77379227905,2005.2595000000001
250,107821.32363913424,2508.676
275,100499.72889676527,2779.655
