Clients,Throughput_ops,Median_Latency_us
2,37167.44576726978,47.449
5,96177.62846633756,45.931
10,129596.15553082683,74.493
20,169052.38023548547,122.163
50,167009.08647586193,304.613
100,217264.54609554796,731.456
150,227179.04942379807,1065.104
200,255339.59229519442,1385.5295
250,303279.06229286914,1602.7545
275,304942.5877325767,1632.685
